absolvovat	vec00601
vyzrát	vec00766
vyzvat	vec00361
vyzvednout	vec01164
vyzývat	vec00361
vyústit	vec00359
vyčerpat	vec00147
vyčinit	vec00958
vyčistit	vec00552
vyčkat	vec00003
vyčkávat	vec00003
vyčleňovat	vec00047
vyčíslit	vec00322
vyčíslovat	vec00322
vyčíst	vec00620
vyčítat	vec00620
vyřadit	vec00555
vyřešit	vec00301
vyřizovat	vec00301
vyřknout	vec01009
vyřídit	vec00301
vyšetřovat	vec00090
vyškolit	vec00763
vyškrtnout	vec00962
vyšperkovat	vec00972
vyšplhat	vec00109
vyšplhat se	vec00109
vyšplhat se	vec00218
vyšroubovat	vec00298
vyštěknout	vec01060
vyšumět	vec01103
vyšvihnout se	vec00109
vyžadovat	vec00272
vyžadovat si	vec00077
vyžrat	vec00828
vyžádat	vec00272
vyžádat si	vec00077
vzbudit	vec00196
vzbuzovat	vec00196
vzchopit se	vec00390
vzdát	vec00942
vzdát se	vec00739
vzdávat	vec00942
vzdávat se	vec00449
vzdávat se	vec00739
vzdělat	vec00531
vzdělávat	vec00531
vzejít	vec00258
vzepřít se	vec00019
vzkvétat	vec00510
vzkřísit	vec00246
vzniknout	vec00258
vznášet	vec00568
vznést	vec00568
vzpamatovat se	vec00390
vzpamatovávat se	vec00390
vzpomenout	vec00364
vzpomenout si	vec00364
vzpomínat	vec00364
vzpomínat si	vec00364
vzpírat se	vec00019
vzrůst	vec00109
vzrůstat	vec00109
vztahovat se	vec00328
vztyčit se	vec00979
vzít	vec00149
vzít	vec00171
vzít	vec00172
vzít	vec00648
vzít	vec00704
vzít	vec01003
vzít se	vec00071
vzít si	vec01166
vázat	vec01141
vážit	vec00548
vážit	vec01142
vést	vec00080
vést	vec00098
vést	vec00302
vést	vec00359
vést	vec00549
vést	vec01143
vést se	vec00153
vést si	vec00153
vézt	vec00172
vítat	vec01145
vítězit	vec00352
včlenit	vec00735
vědět	vec00013
věnovat	vec00497
věnovat	vec00574
věstit	vec00093
věznit	vec00544
věřit	vec00345
vřít	vec00748
vřítit se	vec00747
všimnout si	vec00082
všímat si	vec00574
zabalit	vec00603
zabavit	vec00569
zabavovat	vec00569
zabezpečit	vec00178
zabezpečovat	vec00178
zablokovat	vec00174
zabrat	vec00530
zabraňovat	vec00174
zabraňovat	vec00367
zabránit	vec00174
zabránit	vec00367
zabudovat	vec01167
zabíjet	vec00365
zabírat	vec00221
zabít	vec00365
zabývat se	vec00067
zabřednout	vec01115
zachovat	vec00176
zachovat si	vec00176
zachraňovat	vec00024
zachránit	vec00024
zachránit se	vec00024
zachvět se	vec00937
zachycovat	vec01169
zachytit	vec00615
zachytit	vec01169
zaclonit	vec00024
zacvičit si	vec00606
zadat	vec00127
zadat	vec00571
zadržet	vec00185
zadržovat	vec00813
zadržovat	vec00981
zadávat	vec00571
zafungovat	vec00221
zahajovat	vec00038
zahajovat	vec00059
zahajovat	vec00861
zahalit	vec00769
zahalovat	vec00769
zahltit	vec00576
zahlédnout	vec00154
zahnat	vec00456
zahodit	vec00380
zahradit	vec00570
zahrnout	vec00175
zahrnout	vec00366
zahrnovat	vec00175
zahrnovat	vec00366
zahrát	vec00611
zahrát	vec00823
zahynout	vec00383
zahájit	vec00038
zahájit	vec00861
zajistit	vec00024
zajistit	vec00178
zajišťovat	vec00024
zajišťovat	vec00511
zajmout	vec00185
zajímat	vec00185
zajímat	vec00574
zajímat se	vec00574
zakazovat	vec00367
zaklepat	vec01035
zakládat	vec00179
zakládat se	vec00258
zakončit	vec00213
zakoupit	vec00035
zakousnout se	vec01039
zakročit	vec00774
zakročovat	vec00774
zakrýt	vec00514
zakusit	vec00379
zakázat	vec00367
zakřičet	vec00426
zalidnit	vec00984
založit	vec00179
zalíbit se	vec00188
zamezit	vec00174
zamezit	vec00367
zamezovat	vec00174
zamezovat	vec00367
zamlouvat se	vec00231
zamlčet	vec00514
zamlčovat	vec00514
zamlžit	vec00770
zamlžovat	vec00770
zamořit	vec00372
zamyslet se	vec00149
zamávat	vec00631
zamítat	vec00050
zamítnout	vec00050
zamířit	vec00434
zamýšlet	vec00256
zamýšlet	vec00771
zaměstnat	vec00369
zaměstnávat	vec00369
zaměňovat	vec01170
zaměřit	vec00859
zaměřovat	vec00859
zanechat	vec00291
zanechat	vec00575
zanechat	vec00942
zanechávat	vec00198
zanedbat	vec00460
zanedbávat	vec00460
zaniknout	vec00755
zanést	vec00735
zaostat	vec00370
zaostávat	vec00370
zapadnout	vec00218
zapalovat	vec00986
zaplatit	vec00125
zaplavit	vec00576
zaplavovat	vec00576
zaplnit	vec00577
zaplňovat	vec00577
zaplňovat se	vec01171
zapnout	vec00182
zapojit	vec00175
zapojit se	vec00067
zapojit se	vec00239
zapojovat se	vec00067
zapomenout	vec00371
zapomínat	vec00371
započíst	vec00772
započít	vec00038
započítat	vec00772
započítávat	vec00772
zapsat se	vec00239
zapálit	vec00986
zapínat	vec00182
zapříst	vec00038
zapříčinit	vec00196
zapříčiňovat	vec00196
zapůsobit	vec00773
zarazit	vec00735
zareagovat	vec00102
zaregistrovat	vec00507
zarmoutit	vec00587
zaručit	vec00511
zaručovat	vec00511
zasadit se	vec00069
zasahovat	vec00372
zasahovat	vec00774
zasahovat	vec00775
zasazovat	vec00812
zasedat	vec00373
zaslat	vec00209
zaslechnout	vec00013
zasloužit si	vec00988
zasluhovat si	vec00988
zastat	vec00373
zastat se	vec00244
zastavit	vec00198
zastavit	vec00213
zastavit	vec00579
zastavit se	vec00042
zastavit se	vec00113
zastavit se	vec00579
zastavovat	vec00198
zastavovat	vec00579
zastihnout	vec00374
zastiňovat	vec00580
zastoupit	vec00375
zastrašit	vec00761
zastrašovat	vec00761
zastupovat	vec00375
zastávat	vec00186
zastávat	vec00373
zastávat	vec00989
zastávat se	vec00244
zastínit	vec00580
zastírat	vec00514
zastřelit	vec00365
zastřít	vec00514
zasáhnout	vec00372
zasáhnout	vec00774
zasáhnout	vec00775
zasílat	vec00209
zasít	vec01111
zatajovat	vec00514
zatarasit	vec00570
zatknout	vec00185
zatleskat	vec00135
zatočit	vec00923
zatížit	vec00372
zaujmout	vec00186
zaujmout	vec00188
zaujmout	vec00613
zaujímat	vec00186
zaujímat	vec00613
zavalit	vec00576
zavazovat	vec01013
zavdávat	vec00208
zavinit	vec00196
zavolat	vec00581
zavraždit	vec00365
zavrhnout	vec00050
zavrtět	vec00991
završit	vec00213
završovat	vec00213
zavtipkovat	vec00750
zavádět	vec01188
zavánět	vec00990
zavázat se	vec00311
zavést	vec00812
zavést	vec01188
zavřít	vec00376
zazlívat	vec00620
zaznamenat	vec00082
zaznamenat	vec00377
zaznamenat	vec00507
zaznamenávat	vec00082
zaznamenávat	vec00377
zaznamenávat	vec00507
zazpívat	vec00794
zazvonit	vec01196
zaútočit	vec00441
zaúčtovat	vec00778
začlenit	vec00175
začleňovat	vec00175
začínat	vec00038
začínat	vec00097
začít	vec00038
začít	vec00097
zařadit	vec00175
zařadit se	vec00865
zařeknout se	vec00311
zařizovat	vec00752
zařvat	vec00426
zařídit	vec00178
zašklebit se	vec01043
zaťukat	vec01035
zažalovat	vec00347
zažehnat	vec00456
zažehnout	vec00038
zažádat	vec00272
zažít	vec00379
zažívat	vec00379
zbavit	vec00595
zbavit se	vec00380
zbavovat	vec00595
zbavovat se	vec00380
zbourat	vec00389
zbrzdit	vec00486
zbrzdit se	vec00793
zbít	vec00992
zbýt	vec00583
zbýt	vec01176
zbývat	vec00583
zbývat	vec01176
zchladit	vec00055
zdanit	vec00780
zdaňovat	vec00780
zdařit se	vec00257
zdiskreditovat	vec01192
zdobit	vec00782
zdokonalit	vec00386
zdokonalovat	vec00386
zdolat	vec00091
zdražit	vec00298
zdražovat	vec00298
zdržet	vec00486
zdržet se	vec00394
zdržet se	vec00783
zdržovat	vec00486
zdvihnout	vec01194
zdvojnásobit	vec00187
zdvojnásobit se	vec00187
zdvojnásobovat	vec00187
zdát se	vec00381
zdát se	vec00402
zdědit	vec00584
zděsit	vec00761
zdůraznit	vec00382
zdůrazňovat	vec00382
zdůvodnit	vec00201
zdůvodňovat	vec00201
zemřít	vec00383
zeptat se	vec00384
zeslábnout	vec00463
zesílit	vec00730
zečtyřnásobit se	vec00187
zeštíhlit	vec00788
zformulovat	vec00784
zhatit	vec00174
zhlédnout	vec00154
zhodnocovat	vec00159
zhodnotit	vec00090
zhoršit	vec00785
zhoršit se	vec00786
zhoršovat se	vec00786
zhroutit se	vec00599
zinscenovat	vec00502
zjednodušit	vec00788
zjednodušovat	vec00788
zjistit	vec00013
zjistit	vec00127
zjišťovat	vec00013
zjišťovat	vec00090
zkazit	vec00789
zkazit se	vec00790
zklamat	vec00587
zkonfiskovat	vec00569
zkonstruovat	vec00084
zkontrolovat	vec00090
zkoumat	vec00090
zkoušet	vec00058
zkoušet	vec00117
zkrachovat	vec00599
zkracovat	vec00588
zkreslit	vec00791
zkreslovat	vec00791
zkroutit se	vec00993
zkrátit	vec00588
zkusit	vec00058
zkusit	vec00117
zkvalitnit	vec00386
zkvalitňovat	vec00386
zlehčit	vec00801
zlehčovat	vec00801
zlepšit	vec00386
zlepšovat	vec00386
zlevnit	vec00118
zlevňovat	vec00118
zliberalizovat	vec00545
zlikvidovat	vec00389
zlákat	vec00286
zmanipulovat	vec00254
zmařit	vec00174
zmenšit	vec00118
zmenšit se	vec00028
zmenšovat	vec00118
zmenšovat se	vec00028
zmizet	vec00755
zmiňovat	vec00994
zmiňovat se	vec00994
zmobilizovat	vec00485
zmodernizovat	vec00436
zmonopolizovat	vec01042
zmást	vec00589
zmínit	vec00994
zmínit se	vec00994
zmírnit	vec00055
zmírnit se	vec00793
zmírňovat se	vec00793
zmýlit se	vec00839
změnit	vec00095
změnit	vec00590
změnit se	vec01132
změřit	vec00431
znamenat	vec00194
značit	vec00141
znechucovat	vec01183
znechutit	vec01183
znemožnit	vec00174
znepokojovat se	vec00243
znepřátelit si	vec00996
zneužít	vec00591
zneužívat	vec00591
znečišťovat	vec01182
zničit	vec00389
znárodnit	vec01178
znárodňovat	vec01178
znásilnit	vec01180
znásilňovat	vec01180
znásobit	vec00298
znásobit se	vec01181
znásobovat se	vec01181
znát	vec00013
znát	vec00195
znít	vec00164
znít	vec00592
zobecňovat	vec01184
zobrazit	vec00141
zobrazovat	vec00141
zodpovídat se	vec01185
zopakovat	vec00458
zorganizovat	vec00502
zosnovat	vec00502
zostřit se	vec00730
zotavovat se	vec00390
zpanikařit	vec00864
zpevnit	vec00997
zpochybnit	vec00391
zpochybňovat	vec00391
zpomalit	vec00392
zpomalit	vec00463
zpomalit se	vec00463
zpomalit se	vec00793
zpomalovat	vec00392
zpomalovat	vec00463
zpomalovat se	vec00463
zpozdit	vec00486
zpozorovat	vec00082
zpracovat	vec00900
zprivatizovat	vec00683
zpronevěřit	vec01187
zprostit	vec00595
zpívat	vec00794
způsobit	vec00196
způsobovat	vec00196
zranit	vec00372
zrcadlit	vec00141
zrealizovat	vec01188
zredukovat	vec00118
zrekonstruovat	vec01189
zrenovovat	vec00436
zrodit se	vec00197
zruinovat	vec00389
zrušit	vec00198
zrychlit	vec00337
zrychlit se	vec00730
zrychlovat	vec00337
zrychlovat	vec01190
zrychlovat se	vec00730
ztenčit se	vec00028
ztenčovat se	vec00028
ztišit se	vec00733
ztlumit	vec00055
ztotožnit se	vec00120
ztotožňovat se	vec00120
ztotožňovat se	vec01191
ztratit	vec00275
ztratit	vec00393
ztratit	vec01193
ztrojnásobit	vec00187
ztrojnásobit se	vec00187
ztroskotat	vec00599
ztroskotávat	vec00599
ztrácet	vec00393
ztrácet	vec01193
ztělesňovat	vec00796
zužovat se	vec00028
zvažovat	vec00149
zvedat	vec00298
zvedat	vec01194
zvednout	vec00298
zvednout	vec01194
zvednout se	vec00730
zveličovat	vec00634
zveřejnit	vec00060
zveřejňovat	vec00060
zvládat	vec00212
zvládnout	vec00212
zvládnout	vec00970
zvolat	vec00426
zvolit	vec00106
zvolit	vec00228
zvonit	vec01196
zvrátit	vec01197
zvyšovat	vec00298
zvyšovat se	vec00109
zvát	vec00487
zvážit	vec00149
zvítězit	vec00352
zvýhodnit	vec00069
zvýhodňovat	vec00069
zvýrazňovat	vec00382
zvýšit	vec00109
zvýšit	vec00298
zvýšit se	vec00109
zvěstovat	vec00060
zvětšit	vec00298
zvětšit se	vec00109
zvětšovat	vec00298
zvětšovat se	vec00109
záležet	vec00180
zápasit	vec00301
záviset	vec00180
zářit	vec01173
získat	vec00013
získat	vec00188
získat	vec00189
získat	vec00191
získat	vec00586
získávat	vec00188
získávat	vec00189
získávat	vec00586
zúčastnit se	vec00067
zúčastňovat se	vec00067
zúžit	vec00118
zčtyřnásobit se	vec00187
zřeknout se	vec00942
zřizovat	vec00179
zříci se	vec00942
zřídit	vec00084
zřídit	vec00179
zříkat se	vec00942
zřítit se	vec00028
zřítit se	vec00597
zůstat	vec00199
zůstat	vec00394
zůstat	vec00583
zůstat	vec01176
zůstávat	vec00199
zůstávat	vec00394
útočit	vec00441
účastnit se	vec00067
účinkovat	vec00611
účtovat	vec00532
účtovat si	vec00532
čekat	vec00002
čekat	vec00003
čelit	vec00205
čerpat	vec00189
činit	vec00089
činit	vec00206
činit	vec00404
čistit	vec00552
číst	vec00207
číst	vec00690
číst	vec01010
čítat	vec00206
řadit	vec00916
řešit	vec00301
řvát	vec00426
říci	vec00060
řídit	vec00302
řídit	vec01037
řídit se	vec00303
říkat	vec00043
říkat	vec00060
říkávat	vec00043
říkávat	vec00060
řítit se	vec00747
šeptat	vec00060
škodit	vec00372
školit	vec00763
škrtat	vec00962
škrtnout	vec00962
šokovat	vec00094
šplhat se	vec00109
štěpit	vec00296
šálit	vec00860
šéfovat	vec00302
šířit	vec00912
šířit se	vec00510
žalovat	vec00347
žebrat	vec01200
žertovat	vec00750
živit	vec00624
žvýkat	vec00800
žádat	vec00272
žít	vec00400
žít si	vec00400
